model,split,log_loss,brier,rps,accuracy,calibration_error,sharpness,n_matches,feature_set,C,half_life_years,fold_log_loss_std
compact__c1.0__hl12.0,pooled_rolling_origin,0.8767827386582461,0.5156411809938711,0.17141629774209857,0.6031716065697564,0.01574713953846502,0.6072720368157026,5297,compact,1.0,12.0,0.04922893122648812
compact__c1.0__hl8.0,pooled_rolling_origin,0.8768750555488201,0.5157087515362786,0.17146027726487595,0.6014725316216727,0.014913679601827,0.6064050592614313,5297,compact,1.0,8.0,0.04890887374948388
compact__c0.3__hl12.0,pooled_rolling_origin,0.8770411555026716,0.5158513436424794,0.17151119061187872,0.6026052482537285,0.01689243231343657,0.6066804903592059,5297,compact,0.3,12.0,0.04944766664715076
compact__c0.3__hl8.0,pooled_rolling_origin,0.8773116976455033,0.5160500764418825,0.1716079351497826,0.60128374551633,0.01639650726243287,0.6057809162936808,5297,compact,0.3,8.0,0.04925502627220398
advanced__c1.0__hl12.0,pooled_rolling_origin,0.8775401353376261,0.516157446004005,0.17157266646655978,0.6018501038323579,0.013851512696716731,0.6034428442675028,5297,advanced,1.0,12.0,0.050114895300638514
advanced__c0.3__hl12.0,pooled_rolling_origin,0.8776821113986837,0.5163414607513978,0.17166491057954103,0.60128374551633,0.013244522334244332,0.6029404369917254,5297,advanced,0.3,12.0,0.05022666759944047
compact__c0.1__hl12.0,pooled_rolling_origin,0.8777947398529948,0.516405387163382,0.17175651691192173,0.6020388899377006,0.018529229834882217,0.6059648400126866,5297,compact,0.1,12.0,0.04995437650660937
advanced__c1.0__hl8.0,pooled_rolling_origin,0.8778624027296937,0.5163914195804519,0.17166721901359142,0.60128374551633,0.01268114743920875,0.6039957392065298,5297,advanced,1.0,8.0,0.04991160834830833
advanced__c0.3__hl8.0,pooled_rolling_origin,0.8779447619217636,0.5165199789715393,0.1717382204717367,0.5999622427789315,0.013723884736502956,0.6032815092782312,5297,advanced,0.3,8.0,0.049996620320385765
advanced__c0.1__hl12.0,pooled_rolling_origin,0.8779913435554154,0.5166325714819429,0.17180900332071292,0.6014725316216727,0.013293487061784666,0.6019437149589185,5297,advanced,0.1,12.0,0.050411937587111266
compact__c0.1__hl8.0,pooled_rolling_origin,0.8780664394480158,0.5165934032494337,0.17184626798843675,0.6003398149896167,0.021096676419208198,0.6050544021480088,5297,compact,0.1,8.0,0.04977468807995687
advanced__c0.1__hl8.0,pooled_rolling_origin,0.8782529180185197,0.5168108386947029,0.1718778749963952,0.6014725316216727,0.014467685464689769,0.6025530652268757,5297,advanced,0.1,8.0,0.050136829756540754
compact__c0.03__hl12.0,pooled_rolling_origin,0.8783565415725211,0.5168163495960271,0.17194153448932717,0.6018501038323579,0.018926447745635868,0.6046861269105823,5297,compact,0.03,12.0,0.05073423563103827
compact__c1.0__hl4.0,pooled_rolling_origin,0.878449919439555,0.516716794291414,0.17186061500698752,0.6001510288842741,0.011869251383722966,0.6050478046708083,5297,compact,1.0,4.0,0.048452797738189814
advanced__c0.03__hl12.0,pooled_rolling_origin,0.8786131032251474,0.5170631629363783,0.17199513836044278,0.6009061733056447,0.014603503324473428,0.6006943095314717,5297,advanced,0.03,12.0,0.05065050337127358
compact__c0.03__hl8.0,pooled_rolling_origin,0.8786303636288112,0.5169983673321799,0.1720327889651947,0.6003398149896167,0.016869134281546492,0.6038438122635077,5297,compact,0.03,8.0,0.0504727269395559
advanced__c0.03__hl8.0,pooled_rolling_origin,0.8788517163403354,0.5172370348358625,0.17206565263935583,0.6005286010949594,0.013258149694117231,0.6011665835041867,5297,advanced,0.03,8.0,0.05038817889436688
compact__c0.3__hl4.0,pooled_rolling_origin,0.8788519162523644,0.5170304242970092,0.17199783498968288,0.5984519539361903,0.015537797025325196,0.6045131620163446,5297,compact,0.3,4.0,0.04871764174726728
compact__c0.1__hl4.0,pooled_rolling_origin,0.8795503265110587,0.5175491105740875,0.1722359107512905,0.5993958844629035,0.014161055899494703,0.6037741155774538,5297,compact,0.1,4.0,0.04925320251180788
base__c1.0__hl12.0,pooled_rolling_origin,0.8800136001000078,0.5169516012312017,0.17195984911323003,0.5999622427789315,0.014008056830671042,0.6053124062325977,5297,base,1.0,12.0,0.04866794701535128
advanced__c0.3__hl4.0,pooled_rolling_origin,0.8800878980616819,0.5177967891268122,0.17219678570679522,0.595431376250708,0.01553356605894555,0.6046694325980968,5297,advanced,0.3,4.0,0.049358554409296165
compact__c0.03__hl4.0,pooled_rolling_origin,0.8801883825598915,0.5180095989705217,0.17244368153093736,0.6003398149896167,0.016232444376295507,0.6025888632166406,5297,compact,0.03,4.0,0.05006220783156452
base__c1.0__hl8.0,pooled_rolling_origin,0.8802004566648202,0.5171149845113916,0.17201447448692408,0.5999622427789315,0.008000618197866391,0.6045584547376004,5297,base,1.0,8.0,0.04856680703183181
advanced__c0.1__hl4.0,pooled_rolling_origin,0.8802310210543952,0.5180343096593272,0.17231647059220428,0.5944874457239947,0.015947623996635497,0.6037692653997344,5297,advanced,0.1,4.0,0.049533398490373026
advanced__c1.0__hl4.0,pooled_rolling_origin,0.8802450258062815,0.51774628150985,0.17216404730775658,0.5967528789881065,0.013255733604732377,0.6053107774300769,5297,advanced,1.0,4.0,0.04938131943058789
base__c0.3__hl12.0,pooled_rolling_origin,0.8803364363505373,0.5172158142183468,0.17208459266437184,0.5992070983575609,0.013632969168805052,0.6050940931345586,5297,base,0.3,12.0,0.04859835660925633
base__c0.3__hl8.0,pooled_rolling_origin,0.8804837192230234,0.517315123075781,0.17211014733902866,0.5993958844629035,0.011530496242499464,0.6043085509982754,5297,base,0.3,8.0,0.04850247537667137
advanced__c0.03__hl4.0,pooled_rolling_origin,0.8806899928162862,0.5184120149533653,0.17249670343835696,0.59486501793468,0.011428250539950235,0.6024343154694618,5297,advanced,0.03,4.0,0.04974609152321184
base__c0.1__hl12.0,pooled_rolling_origin,0.8809719320892064,0.5176795503429945,0.17228199940906322,0.5995846705682462,0.016997816840206355,0.6046769216045041,5297,base,0.1,12.0,0.04858531423349664
base__c0.1__hl8.0,pooled_rolling_origin,0.8811027333057806,0.5177630091384459,0.17229513654193962,0.5992070983575609,0.015705450911613253,0.6039082241352703,5297,base,0.1,8.0,0.04848114926835358
base__c0.03__hl12.0,pooled_rolling_origin,0.881888395484773,0.5182873219335605,0.1725297600004172,0.5982631678308477,0.01479298858650075,0.6039132969980796,5297,base,0.03,12.0,0.04870482061526402
base__c0.03__hl8.0,pooled_rolling_origin,0.8819148079202301,0.5183102167522212,0.1725225593480648,0.5976968095148197,0.016263124197282618,0.6032181121368533,5297,base,0.03,8.0,0.04852043481135467
base__c1.0__hl4.0,pooled_rolling_origin,0.8819406281077433,0.5180307064476044,0.17231744943100402,0.5984519539361903,0.011058351503503304,0.6040238480079438,5297,base,1.0,4.0,0.048335585045442914
base__c0.3__hl4.0,pooled_rolling_origin,0.8819854803217967,0.5181585975311608,0.17237139942860813,0.5975080234094771,0.011922736397838071,0.6037186246054845,5297,base,0.3,4.0,0.048258039598029004
base__c0.1__hl4.0,pooled_rolling_origin,0.8823165138862502,0.518484258600152,0.17251334960497466,0.5990183122522182,0.012230971741493122,0.6033453097418807,5297,base,0.1,4.0,0.0481550228949133
base__c0.03__hl4.0,pooled_rolling_origin,0.8829830279633963,0.5189816332363166,0.17272226850776498,0.5978855956201623,0.013655670112161716,0.6027099840098349,5297,base,0.03,4.0,0.04807134265245703
elo_logistic,pooled_rolling_origin,0.8973661223255757,0.5282324313087924,0.17660635739854505,0.5933547290919389,0.008031988628138882,0.5955369661503513,5297,baseline,,,0.049984331595548374
class_prior,pooled_rolling_origin,1.0528268856980254,0.6350285927188547,0.22806238495927653,0.4753634132527846,0.010515046104690173,0.48587845935747476,5297,baseline,,,0.009210755793874566
