model,split,log_loss,brier,rps,accuracy,calibration_error,sharpness,n_matches,feature_set,C,half_life_years
class_prior,2018,1.0610451868526076,0.6404636621067644,0.22589973990347562,0.46609257265877285,0.020741906102509033,0.4868344787612819,929,baseline,,
elo_logistic,2018,0.9543231427824903,0.5668417452499117,0.19027219744287502,0.5468245425188375,0.02283316965369583,0.555499249979943,929,baseline,,
base__c0.03__hl4.0,2018,0.9358244626632176,0.5550215874659187,0.18605500590817353,0.5479009687836384,0.020113256216912453,0.5629723649244901,929,base,0.03,4.0
base__c0.03__hl8.0,2018,0.937621125242399,0.5558750110695133,0.1863365821772709,0.5479009687836384,0.023152066941143197,0.5643624315239613,929,base,0.03,8.0
base__c0.03__hl12.0,2018,0.9384336409706798,0.5562867963223573,0.18646574747735853,0.55005382131324,0.021225572340134606,0.5651337166243015,929,base,0.03,12.0
base__c0.1__hl4.0,2018,0.9350873571917239,0.5542529905063456,0.1857384242298143,0.5489773950484392,0.019994097453599573,0.5634586610532746,929,base,0.1,4.0
base__c0.1__hl8.0,2018,0.9364674788095638,0.554843670646654,0.18591802622145145,0.5511302475780409,0.02078351045181111,0.5647924757699784,929,base,0.1,8.0
base__c0.1__hl12.0,2018,0.9371183255735503,0.5551176497527405,0.18599496779216948,0.5511302475780409,0.02376375854968291,0.5656231938334089,929,base,0.1,12.0
base__c0.3__hl4.0,2018,0.9346043831609409,0.5536179762716218,0.18544557307441825,0.5522066738428417,0.01959363676066702,0.5635816603834056,929,base,0.3,4.0
base__c0.3__hl8.0,2018,0.9356657741875143,0.554007558730624,0.18557572429434743,0.5489773950484392,0.021110805303917738,0.564826009258796,929,base,0.3,8.0
base__c0.3__hl12.0,2018,0.9363488251690625,0.5543148297874302,0.18566559703412103,0.55005382131324,0.02259906789610993,0.5656818713192053,929,base,0.3,12.0
base__c1.0__hl4.0,2018,0.9341988883410195,0.5530986375272877,0.1851926577036175,0.5522066738428417,0.018555062758844845,0.5635080024556114,929,base,1.0,4.0
base__c1.0__hl8.0,2018,0.9358581229563919,0.5539371653577595,0.1855189283433009,0.5446716899892358,0.02541841090885938,0.5646179858613276,929,base,1.0,8.0
base__c1.0__hl12.0,2018,0.9363018757177879,0.5540228714244648,0.18549939548567332,0.5446716899892358,0.026969415135283677,0.5654765564498471,929,base,1.0,12.0
