model,split,log_loss,brier,rps,accuracy,calibration_error,sharpness,n_matches,kind
blend__lightgbm_small__hlNone,pooled_rolling_origin,0.8666696421222934,0.5092152627391504,0.16846896670570918,0.6071361147819521,0.012374381085260738,0.6057784298473017,5297,blend
blend__lightgbm_small__hl20.0,pooled_rolling_origin,0.8670698990377659,0.5094538669231582,0.16855569054574535,0.6061921842552388,0.015866925025529575,0.6065291992562204,5297,blend
blend__hist_gbm_small__hlNone,pooled_rolling_origin,0.8671190940819486,0.5094333353487793,0.16852928717809088,0.6067585425712667,0.008976904055921296,0.6077173999834706,5297,blend
blend__hist_gbm_small__hl20.0,pooled_rolling_origin,0.8673909850615056,0.5095500130473427,0.1685708978325174,0.6065697564659241,0.012456741958576567,0.6089211784173073,5297,blend
blend__lightgbm_small__hl12.0,pooled_rolling_origin,0.8674284170765303,0.5096453816822912,0.16861984897382537,0.6058146120445536,0.016569982098118736,0.6077660322561659,5297,blend
blend__lightgbm_medium__hlNone,pooled_rolling_origin,0.8674853664765388,0.5097722235830338,0.16865180266188226,0.6075136869926373,0.015428526077678627,0.6089215663264249,5297,blend
blend__hist_gbm_medium__hlNone,pooled_rolling_origin,0.867570304660509,0.5096864678352397,0.1685882013152923,0.6067585425712667,0.0112476316277298,0.6086555736874872,5297,blend
blend__lightgbm_medium__hl20.0,pooled_rolling_origin,0.8675710182870325,0.5098047346125805,0.16867073015425071,0.6073249008872947,0.0159877957277033,0.6103172553677934,5297,blend
blend__hist_gbm_small__hl12.0,pooled_rolling_origin,0.867670574139794,0.5096778073305539,0.16862465861817355,0.6075136869926373,0.012844046103889253,0.609771646252778,5297,blend
blend__lightgbm_slow__hl20.0,pooled_rolling_origin,0.867674425866782,0.5098312258458675,0.16866942230454862,0.6060033981498961,0.014800633048702007,0.6111318924888095,5297,blend
blend__lightgbm_slow__hlNone,pooled_rolling_origin,0.8676879939795096,0.5098720387295046,0.16868464839751796,0.6060033981498961,0.0109042730310629,0.6094983397218907,5297,blend
blend__hist_gbm_medium__hl20.0,pooled_rolling_origin,0.867806670573783,0.5098223666428258,0.1686440051954778,0.6065697564659241,0.013713019996995196,0.6102374615393276,5297,blend
blend__lightgbm_medium__hl12.0,pooled_rolling_origin,0.867820458119503,0.5098704501507569,0.16870291077507632,0.6061921842552388,0.01634570411577601,0.6115860743442123,5297,blend
blend__lightgbm_slow__hl12.0,pooled_rolling_origin,0.8679939649238508,0.5099395009474689,0.16872909231972688,0.6065697564659241,0.017352026448544628,0.6121369903637425,5297,blend
blend__hist_gbm_medium__hl12.0,pooled_rolling_origin,0.8680483665184293,0.5099405586086975,0.16871192793217568,0.6069473286766094,0.01593720853640017,0.6108750461618762,5297,blend
logistic_fifa__hl20.0,pooled_rolling_origin,0.8691629711985045,0.5107196376810463,0.16903001199437956,0.6084576175193506,0.017997713516499297,0.615107485626031,5297,single
hist_gbm_small__hlNone,pooled_rolling_origin,0.875238175480476,0.5141681914567005,0.1706330908218939,0.5992070983575609,0.009704635893977964,0.5980316571559001,5297,single
lightgbm_small__hlNone,pooled_rolling_origin,0.8753036852270498,0.5143392177066985,0.17086190579513516,0.5993958844629035,0.013074126874068618,0.5934601609848191,5297,single
lightgbm_small__hl20.0,pooled_rolling_origin,0.8762786535037467,0.5149288136489113,0.17105055262982505,0.5995846705682462,0.011977521249056723,0.593677360558058,5297,single
lightgbm_medium__hlNone,pooled_rolling_origin,0.8763334411093862,0.5149925949911032,0.17088713506858913,0.6009061733056447,0.009645114669386586,0.5996411052429526,5297,single
hist_gbm_small__hl20.0,pooled_rolling_origin,0.8763722180200381,0.5147598940464948,0.17088758898927106,0.6018501038323579,0.010999942666738734,0.600286465392198,5297,single
lightgbm_slow__hlNone,pooled_rolling_origin,0.8766042059186366,0.5151765747927155,0.1709080674940699,0.6007173872003021,0.005626786284195337,0.6004206012386591,5297,single
hist_gbm_medium__hlNone,pooled_rolling_origin,0.876836568440869,0.5149035571871514,0.1708047780832485,0.6020388899377006,0.007885765763725485,0.5978501051386828,5297,single
lightgbm_small__hl12.0,pooled_rolling_origin,0.8777287350602655,0.515721940875204,0.17132365568965827,0.5997734566735888,0.008017744552516035,0.5954445208552699,5297,single
hist_gbm_small__hl12.0,pooled_rolling_origin,0.8781026246654892,0.5155821507240581,0.17122430663674007,0.6005286010949594,0.00938354517813544,0.6015776827097498,5297,single
lightgbm_medium__hl20.0,pooled_rolling_origin,0.8781859443696833,0.5159238160099965,0.17123866229828208,0.5978855956201623,0.010964155908913462,0.604059623923203,5297,single
lightgbm_slow__hl20.0,pooled_rolling_origin,0.8783069967641951,0.5158671530353321,0.17114102773245993,0.5993958844629035,0.008923128836108556,0.6066321733078551,5297,single
hist_gbm_medium__hl20.0,pooled_rolling_origin,0.8783497647747672,0.515762047393435,0.1711232090780696,0.60128374551633,0.009110353963393126,0.602135157574123,5297,single
hist_gbm_medium__hl12.0,pooled_rolling_origin,0.8800056379895195,0.5166060235291818,0.17150820768809022,0.6014725316216727,0.009067174005633517,0.6028335500321088,5297,single
lightgbm_medium__hl12.0,pooled_rolling_origin,0.8807575140515416,0.517223334070537,0.17175241099678415,0.5993958844629035,0.012601627442575545,0.6082006516272582,5297,single
lightgbm_slow__hl12.0,pooled_rolling_origin,0.8810284404839364,0.5172974814420044,0.1717240902063594,0.5965640928827638,0.014003158347919781,0.6095918879833183,5297,single
