model,split,log_loss,brier,rps,accuracy,calibration_error,sharpness,n_matches,model_type,parameters
logistic_fifa__hl20.0,2018,0.9148014388657323,0.5404731343215234,0.1792799069072269,0.5705059203444564,0.036510675881512286,0.5745082795974604,929,logistic,"{""half_life_years"": 20.0, ""model_type"": ""logistic"", ""name"": ""logistic_fifa"", ""params"": {""C"": 3.0}}"
lightgbm_small__hl12.0,2018,0.9307574301568703,0.5516259123494894,0.18396119728484972,0.5575888051668461,0.024844937764927317,0.5341578472450057,929,lightgbm,"{""half_life_years"": 12.0, ""model_type"": ""lightgbm"", ""name"": ""lightgbm_small"", ""params"": {""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_samples"": 75, ""n_estimators"": 350, ""num_leaves"": 7, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0}}"
lightgbm_small__hl20.0,2018,0.9291831051600817,0.550988178784324,0.18383707678642233,0.5543595263724435,0.03490607131982565,0.5368285223477559,929,lightgbm,"{""half_life_years"": 20.0, ""model_type"": ""lightgbm"", ""name"": ""lightgbm_small"", ""params"": {""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_samples"": 75, ""n_estimators"": 350, ""num_leaves"": 7, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0}}"
lightgbm_small__hlNone,2018,0.9265292044094862,0.5493736680955543,0.18330155941939583,0.5532831001076426,0.03801793218843214,0.5412609986691868,929,lightgbm,"{""half_life_years"": null, ""model_type"": ""lightgbm"", ""name"": ""lightgbm_small"", ""params"": {""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_samples"": 75, ""n_estimators"": 350, ""num_leaves"": 7, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0}}"
lightgbm_medium__hl12.0,2018,0.9274070729658995,0.5497057545713777,0.18284141101183093,0.5705059203444564,0.03050229298954407,0.5400036273549124,929,lightgbm,"{""half_life_years"": 12.0, ""model_type"": ""lightgbm"", ""name"": ""lightgbm_medium"", ""params"": {""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_samples"": 75, ""n_estimators"": 500, ""num_leaves"": 15, ""reg_alpha"": 1.0, ""reg_lambda"": 15.0}}"
lightgbm_medium__hl20.0,2018,0.9252127244886722,0.5484996679377596,0.18272442720830775,0.5683530678148547,0.029026968081212474,0.5417471660568013,929,lightgbm,"{""half_life_years"": 20.0, ""model_type"": ""lightgbm"", ""name"": ""lightgbm_medium"", ""params"": {""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_samples"": 75, ""n_estimators"": 500, ""num_leaves"": 15, ""reg_alpha"": 1.0, ""reg_lambda"": 15.0}}"
lightgbm_medium__hlNone,2018,0.9256116235377806,0.5482179309625421,0.18254992579212234,0.5672766415500539,0.0214619616227894,0.5466638045289842,929,lightgbm,"{""half_life_years"": null, ""model_type"": ""lightgbm"", ""name"": ""lightgbm_medium"", ""params"": {""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_samples"": 75, ""n_estimators"": 500, ""num_leaves"": 15, ""reg_alpha"": 1.0, ""reg_lambda"": 15.0}}"
lightgbm_slow__hl12.0,2018,0.9251588811554528,0.5479823278055568,0.18209914166552899,0.5640473627556513,0.022969176209972613,0.5442825312483724,929,lightgbm,"{""half_life_years"": 12.0, ""model_type"": ""lightgbm"", ""name"": ""lightgbm_slow"", ""params"": {""learning_rate"": 0.015, ""max_depth"": 5, ""min_child_samples"": 100, ""n_estimators"": 650, ""num_leaves"": 15, ""reg_alpha"": 2.0, ""reg_lambda"": 20.0}}"
lightgbm_slow__hl20.0,2018,0.9231986588385709,0.546759770558293,0.18198682611980477,0.5705059203444564,0.025920500476554177,0.5445854198679023,929,lightgbm,"{""half_life_years"": 20.0, ""model_type"": ""lightgbm"", ""name"": ""lightgbm_slow"", ""params"": {""learning_rate"": 0.015, ""max_depth"": 5, ""min_child_samples"": 100, ""n_estimators"": 650, ""num_leaves"": 15, ""reg_alpha"": 2.0, ""reg_lambda"": 20.0}}"
lightgbm_slow__hlNone,2018,0.9212309737500896,0.5453141827613958,0.1815223934021861,0.5758880516684607,0.031121650910000458,0.547152985677294,929,lightgbm,"{""half_life_years"": null, ""model_type"": ""lightgbm"", ""name"": ""lightgbm_slow"", ""params"": {""learning_rate"": 0.015, ""max_depth"": 5, ""min_child_samples"": 100, ""n_estimators"": 650, ""num_leaves"": 15, ""reg_alpha"": 2.0, ""reg_lambda"": 20.0}}"
