model,split,log_loss,brier,rps,accuracy,calibration_error,sharpness,n_matches,feature_set,C,half_life_years,fold_log_loss_std
compact_fifa__c3.0__hl20.0,pooled_rolling_origin,0.8698656594131406,0.5111838673112316,0.16917360259987763,0.6052482537285255,0.015287069842142498,0.6093995217886329,5297,compact_fifa,3.0,20.0,0.04808976020353709
compact_fifa__c1.0__hl20.0,pooled_rolling_origin,0.8698994040476892,0.5112199985583646,0.16919958725622253,0.6043043232018124,0.017557688130120284,0.6094046709028252,5297,compact_fifa,1.0,20.0,0.04820011239498559
compact_fifa__c1.0__hl12.0,pooled_rolling_origin,0.8700093769897479,0.5112628713497981,0.16917127950248395,0.6052482537285255,0.017008620317612487,0.6098977013267904,5297,compact_fifa,1.0,12.0,0.047626982331179124
compact_fifa__c3.0__hl12.0,pooled_rolling_origin,0.8700318261336877,0.5112927887483225,0.16918486108619116,0.6037379648857845,0.019803176855127155,0.6100637767171118,5297,compact_fifa,3.0,12.0,0.047469084892181976
compact_fifa__c0.3__hl20.0,pooled_rolling_origin,0.8701286624007206,0.511341964729555,0.16924483646608182,0.605059467623183,0.020452968040900223,0.6089594595258744,5297,compact_fifa,0.3,20.0,0.04856811513180216
compact_fifa__c0.3__hl12.0,pooled_rolling_origin,0.8702071357833887,0.5113799905329459,0.16923842382592755,0.6061921842552388,0.017526965186197885,0.6097006870587119,5297,compact_fifa,0.3,12.0,0.047928063554631015
compact_fifa__c0.1__hl20.0,pooled_rolling_origin,0.8702337476937595,0.5114080256440687,0.1692979218183269,0.6035491787804418,0.02087727618684675,0.6082332156346684,5297,compact_fifa,0.1,20.0,0.04894377364874064
compact_fifa__c0.1__hl12.0,pooled_rolling_origin,0.8703033266043861,0.5114153975999696,0.16926707057281756,0.6052482537285255,0.017639148585614016,0.6089201318349776,5297,compact_fifa,0.1,12.0,0.04823867515935372
compact_fifa__c3.0__hlNone,pooled_rolling_origin,0.8704485153910763,0.5116088481985469,0.16938497630732957,0.6043043232018124,0.01714558399891609,0.6085595228260094,5297,compact_fifa,3.0,,0.04895041816061248
compact_fifa__c1.0__hl8.0,pooled_rolling_origin,0.8705469023093445,0.5115808383768458,0.1692706141741241,0.6046818954124976,0.017547871776708475,0.6110257788569459,5297,compact_fifa,1.0,8.0,0.04713631409133324
compact_fifa__c3.0__hl8.0,pooled_rolling_origin,0.870590299622137,0.5116038424742125,0.16926474478283338,0.6048706815178403,0.018698767398589156,0.6112134029966081,5297,compact_fifa,3.0,8.0,0.04688892246182512
compact_fifa__c1.0__hlNone,pooled_rolling_origin,0.8706124975910364,0.5117185933744852,0.16943330800032705,0.6041155370964697,0.016265331632507606,0.6082906284655835,5297,compact_fifa,1.0,,0.04917819463572198
compact_fifa__c0.1__hlNone,pooled_rolling_origin,0.870731755127855,0.5117756180477961,0.16948361084361782,0.6033603926750991,0.0168293055655459,0.607351852832534,5297,compact_fifa,0.1,,0.0497919496845659
compact_fifa__c0.3__hl8.0,pooled_rolling_origin,0.8707455659023527,0.511673729814188,0.16930511812159899,0.6067585425712667,0.020888392415353167,0.6106554953980423,5297,compact_fifa,0.3,8.0,0.04742162897293046
compact_fifa__c0.3__hlNone,pooled_rolling_origin,0.8707607361277557,0.5118068498645677,0.16949066618245995,0.6043043232018124,0.016734525733883787,0.6082662666481972,5297,compact_fifa,0.3,,0.049370533891730274
compact_fifa__c0.1__hl8.0,pooled_rolling_origin,0.870856790064911,0.511737232867359,0.16935676120922163,0.6073249008872947,0.02030930414051913,0.6099935324553288,5297,compact_fifa,0.1,8.0,0.04768692442445466
compact_v2__c3.0__hl20.0,pooled_rolling_origin,0.8764283088041008,0.5152495730549728,0.1712375219809415,0.6027940343590712,0.014136954872661263,0.6067370707156513,5297,compact_v2,3.0,20.0,0.04877734508953431
compact_v2__c3.0__hlNone,pooled_rolling_origin,0.8764838845560736,0.5152579256671403,0.17121056064263215,0.6029828204644139,0.01466349322371235,0.6083549405489664,5297,compact_v2,3.0,,0.04896464587480011
compact_v2__c1.0__hlNone,pooled_rolling_origin,0.8765206045055751,0.5153068526650744,0.17123885732031613,0.6037379648857845,0.015910867141361196,0.6081459233293398,5297,compact_v2,1.0,,0.04919153839154257
compact_v2__c1.0__hl20.0,pooled_rolling_origin,0.8765928981847757,0.5153842662298754,0.17129121183613624,0.6026052482537285,0.015283281707961768,0.6064789135175459,5297,compact_v2,1.0,20.0,0.04887788459825082
compact_v2__c3.0__hl12.0,pooled_rolling_origin,0.8766876503313006,0.5154116952506955,0.1713053201266586,0.6027940343590712,0.015140247736354216,0.6059832209506893,5297,compact_v2,3.0,12.0,0.04853291877739893
compact_v2__c1.0__hl12.0,pooled_rolling_origin,0.8768249124558981,0.5155126698467647,0.17135132673911063,0.6020388899377006,0.01550021383392097,0.6059147036947551,5297,compact_v2,1.0,12.0,0.048654189595299276
compact_v2__c0.3__hl20.0,pooled_rolling_origin,0.876959539006552,0.5156317530204855,0.1714025826358161,0.6031716065697564,0.015383366395698941,0.6060815032796438,5297,compact_v2,0.3,20.0,0.04904566665570051
compact_v2__c0.3__hlNone,pooled_rolling_origin,0.8770554322518447,0.5156961013911514,0.17141038620072035,0.6018501038323579,0.014166156741209525,0.6076924439984915,5297,compact_v2,0.3,,0.049296726792704575
compact_v2__c0.3__hl12.0,pooled_rolling_origin,0.8772406315977268,0.5157951330825785,0.1714767980345442,0.6016613177270153,0.012757351943283923,0.6054127273200847,5297,compact_v2,0.3,12.0,0.04896367428309701
compact_v2__c3.0__hl8.0,pooled_rolling_origin,0.8772625841650749,0.5157898687562241,0.1714546395359802,0.6010949594109873,0.012898125772637412,0.6054787564256061,5297,compact_v2,3.0,8.0,0.04842134512858935
compact_v2__c1.0__hl8.0,pooled_rolling_origin,0.8773512956032455,0.5158593328832821,0.17148825916539584,0.6010949594109873,0.014233453251053862,0.6051838430676992,5297,compact_v2,1.0,8.0,0.04853486391636118
compact_v2__c0.1__hl20.0,pooled_rolling_origin,0.8775639462466903,0.5160067332729378,0.17158188252476225,0.6014725316216727,0.012343288831360877,0.6054990784914072,5297,compact_v2,0.1,20.0,0.04942258306994985
compact_v2__c0.1__hlNone,pooled_rolling_origin,0.8775935316665732,0.5160186168788431,0.17156323432662085,0.6007173872003021,0.011921959920622128,0.6069955452637317,5297,compact_v2,0.1,,0.04959336798183306
compact_v2__c0.3__hl8.0,pooled_rolling_origin,0.8777248793251866,0.5161125317468885,0.17160713487303794,0.5995846705682462,0.014882020401104907,0.6047763534055461,5297,compact_v2,0.3,8.0,0.04879405263144292
compact_v2__c0.1__hl12.0,pooled_rolling_origin,0.8777409302187535,0.516122120171641,0.17163669720260782,0.6016613177270153,0.01281761909677106,0.6047132222672205,5297,compact_v2,0.1,12.0,0.04925140793481815
compact_v2__c0.1__hl8.0,pooled_rolling_origin,0.8782939304359936,0.5164914678354904,0.17178554103811394,0.5997734566735888,0.011092012615852496,0.6041258886982567,5297,compact_v2,0.1,8.0,0.049065000342596476
elo_logistic,pooled_rolling_origin,0.8973661223255757,0.5282324313087924,0.17660635739854505,0.5933547290919389,0.008031988628138882,0.5955369661503513,5297,baseline,,,0.049984331595548374
class_prior,pooled_rolling_origin,1.0528268856980254,0.6350285927188547,0.22806238495927653,0.4753634132527846,0.010515046104690173,0.48587845935747476,5297,baseline,,,0.009210755793874566
