model,split,log_loss,brier,rps,accuracy,calibration_error,sharpness,n_matches,feature_set,C,half_life_years
class_prior,2018,1.0610451868526076,0.6404636621067644,0.22589973990347562,0.46609257265877285,0.020741906102509033,0.4868344787612819,929,baseline,,
elo_logistic,2018,0.9543231427824903,0.5668417452499117,0.19027219744287502,0.5468245425188375,0.02283316965369583,0.555499249979943,929,baseline,,
compact_v2__c0.1__hl8.0,2018,0.9311716773001785,0.5521092281495291,0.18440529044011242,0.5543595263724435,0.01571073836046453,0.5564336567544056,929,compact_v2,0.1,8.0
compact_v2__c0.1__hl12.0,2018,0.9314116170944426,0.5521750418349735,0.18445328705068456,0.5565123789020452,0.018220245631686696,0.5574197088652786,929,compact_v2,0.1,12.0
compact_v2__c0.1__hl20.0,2018,0.9316576369582256,0.5523070268370814,0.18451648482234184,0.5565123789020452,0.012011929394027634,0.5585334541221902,929,compact_v2,0.1,20.0
compact_v2__c0.1__hlNone,2018,0.9322101576126847,0.5526325791088372,0.18464495984482326,0.5565123789020452,0.0142014869002664,0.559593935311784,929,compact_v2,0.1,
compact_v2__c0.3__hl8.0,2018,0.9300508199071627,0.5510939387724325,0.18394260227638548,0.5543595263724435,0.01592542835761565,0.5566560011428229,929,compact_v2,0.3,8.0
compact_v2__c0.3__hl12.0,2018,0.9302754910362372,0.5511612393841817,0.18399447478315953,0.5565123789020452,0.017801076988836245,0.5578474764592639,929,compact_v2,0.3,12.0
compact_v2__c0.3__hl20.0,2018,0.9301003049200394,0.5510491637709356,0.18397700622158653,0.5554359526372443,0.014959632500162759,0.5584621086320876,929,compact_v2,0.3,20.0
compact_v2__c0.3__hlNone,2018,0.9305070851730739,0.5513776620412743,0.18412316109641713,0.5575888051668461,0.015930666404215223,0.5599599309717332,929,compact_v2,0.3,
compact_v2__c1.0__hl8.0,2018,0.9288965654111934,0.5502554845180643,0.18359622187252908,0.5565123789020452,0.016924714711071716,0.5565058615635653,929,compact_v2,1.0,8.0
compact_v2__c1.0__hl12.0,2018,0.9289641804493578,0.550220374719836,0.18359585378703358,0.5565123789020452,0.01915813387436094,0.5579737237438958,929,compact_v2,1.0,12.0
compact_v2__c1.0__hl20.0,2018,0.9292642039992569,0.5504405221481657,0.18370239241142688,0.5586652314316469,0.013507766774121816,0.558761138321594,929,compact_v2,1.0,20.0
