model,split,log_loss,brier,rps,accuracy,calibration_error,sharpness,n_matches,kind,seconds,parameters
logistic_c1.0_hl8.0,tuning_2023,0.8541417336598706,0.5010833243482317,0.170607112371204,0.6195445920303605,0.034362613576379576,0.6240376025783289,1054,outcome,4.679001900018193,"{""half_life_years"": 8.0, ""model_params"": {""C"": 1.0}, ""model_type"": ""logistic"", ""name"": ""logistic_c1.0_hl8.0""}"
logistic_c0.3_hl8.0,tuning_2023,0.8544306516370362,0.5011235474465653,0.170605877812768,0.6195445920303605,0.03901811594636551,0.6238917334771696,1054,outcome,3.782766900025308,"{""half_life_years"": 8.0, ""model_params"": {""C"": 0.3}, ""model_type"": ""logistic"", ""name"": ""logistic_c0.3_hl8.0""}"
logistic_c0.1_hl8.0,tuning_2023,0.8546770127532347,0.5011652015496721,0.17063658856382316,0.6195445920303605,0.037093539501722485,0.6235266790768131,1054,outcome,3.1319553999928758,"{""half_life_years"": 8.0, ""model_params"": {""C"": 0.1}, ""model_type"": ""logistic"", ""name"": ""logistic_c0.1_hl8.0""}"
logistic_c1.0_hlNone,tuning_2023,0.8552791288754579,0.5010971389632238,0.17068044853806028,0.6204933586337761,0.0479551770947299,0.6264543813199284,1054,outcome,4.115375599940307,"{""half_life_years"": null, ""model_params"": {""C"": 1.0}, ""model_type"": ""logistic"", ""name"": ""logistic_c1.0_hlNone""}"
logistic_c0.03_hl8.0,tuning_2023,0.855312085125043,0.5011431879898912,0.17061109120004084,0.6214421252371917,0.0380561644055012,0.6225942403754933,1054,outcome,2.0944741999264807,"{""half_life_years"": 8.0, ""model_params"": {""C"": 0.03}, ""model_type"": ""logistic"", ""name"": ""logistic_c0.03_hl8.0""}"
logistic_c0.1_hlNone,tuning_2023,0.8553265789759166,0.5009547645114332,0.170613484703293,0.6195445920303605,0.03926246777322773,0.6254174255777616,1054,outcome,2.165675799944438,"{""half_life_years"": null, ""model_params"": {""C"": 0.1}, ""model_type"": ""logistic"", ""name"": ""logistic_c0.1_hlNone""}"
logistic_c0.3_hlNone,tuning_2023,0.8554555310750364,0.5011047790797437,0.1706612863719327,0.6223908918406073,0.03946046023157699,0.62593598805858,1054,outcome,3.132408499950543,"{""half_life_years"": null, ""model_params"": {""C"": 0.3}, ""model_type"": ""logistic"", ""name"": ""logistic_c0.3_hlNone""}"
logistic_c0.03_hlNone,tuning_2023,0.8557088697712849,0.5008461630857577,0.17055689918430944,0.6214421252371917,0.03748455086209653,0.6240038129105254,1054,outcome,1.544411199982278,"{""half_life_years"": null, ""model_params"": {""C"": 0.03}, ""model_type"": ""logistic"", ""name"": ""logistic_c0.03_hlNone""}"
lightgbm_2_hlNone,tuning_2023,0.859198134450894,0.502368267268504,0.17072983978285916,0.6214421252371917,0.03751502123686466,0.6172884979660966,1054,outcome,22.656982199987397,"{""half_life_years"": null, ""model_params"": {""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_samples"": 50, ""n_estimators"": 500, ""num_leaves"": 15, ""reg_lambda"": 5.0}, ""model_type"": ""lightgbm"", ""name"": ""lightgbm_2_hlNone""}"
lightgbm_1_hlNone,tuning_2023,0.8618769360936973,0.5048096460319251,0.1722242277320961,0.6148007590132827,0.01910982405789767,0.6095341611925861,1054,outcome,11.750999200041406,"{""half_life_years"": null, ""model_params"": {""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 50, ""n_estimators"": 300, ""num_leaves"": 7, ""reg_lambda"": 5.0}, ""model_type"": ""lightgbm"", ""name"": ""lightgbm_1_hlNone""}"
