model,split,log_loss,brier,rps,accuracy,calibration_error,sharpness,n_matches,draw_C,decisive_C,half_life_years
structured__draw0.03__decisive0.3__hl8.0,2018,0.9340650051349997,0.5535897217424788,0.18467495168946968,0.5565123789020452,0.01653178974796677,0.5570174601636306,929,0.03,0.3,8.0
structured__draw0.03__decisive0.3__hl12.0,2018,0.9342070713507045,0.5537166852090756,0.18474608205576215,0.5543595263724435,0.01682923304604392,0.5583459893981598,929,0.03,0.3,12.0
structured__draw0.03__decisive0.3__hl20.0,2018,0.9344254553422865,0.5538940706066149,0.18482640202411427,0.5543595263724435,0.017909768785085156,0.5593623247957418,929,0.03,0.3,20.0
structured__draw0.03__decisive0.3__hlnone,2018,0.9347493598906765,0.5541696127114547,0.1849332203608332,0.5522066738428417,0.017395837988230918,0.5608825019014344,929,0.03,0.3,
structured__draw0.03__decisive1.0__hl8.0,2018,0.9332044964401003,0.5526789335128628,0.18421955757466166,0.5565123789020452,0.014000684111387452,0.5572165443803287,929,0.03,1.0,8.0
structured__draw0.03__decisive1.0__hl12.0,2018,0.9331823453608996,0.5527294123467034,0.184252445624576,0.5586652314316469,0.011720400059291688,0.5585840732680625,929,0.03,1.0,12.0
structured__draw0.03__decisive1.0__hl20.0,2018,0.9333845946397894,0.5529375799713567,0.18434815670648513,0.5597416576964478,0.013741924046330822,0.5594330221251252,929,0.03,1.0,20.0
structured__draw0.03__decisive1.0__hlnone,2018,0.9336151141763149,0.5531824936815383,0.18443966084587501,0.5565123789020452,0.015152771502966707,0.5611554154596584,929,0.03,1.0,
structured__draw0.1__decisive0.3__hl8.0,2018,0.9338248871955714,0.5534479230080384,0.18467239751647782,0.5532831001076426,0.023392455052877167,0.5569242642922789,929,0.1,0.3,8.0
structured__draw0.1__decisive0.3__hl12.0,2018,0.9340527328305405,0.5535900430100865,0.1847388599001518,0.5554359526372443,0.01906753273178137,0.5584010830480582,929,0.1,0.3,12.0
structured__draw0.1__decisive0.3__hl20.0,2018,0.9342458474498606,0.5537589821840595,0.18481354498900243,0.5565123789020452,0.01639502106971382,0.5594459361482639,929,0.1,0.3,20.0
structured__draw0.1__decisive0.3__hlnone,2018,0.9344260814260134,0.5539776342432735,0.1849125789149074,0.5532831001076426,0.016499724126012156,0.5610305452255748,929,0.1,0.3,
